"",ADDRESS,Days Open/ Hours Cont.,SECONDARY SERVICE,ZIP CODE,CITY,Languages Offered,WEBSITE,PRIMARY SERVICE,Basic Information,PHONE,TRANSPORTATION,HOURS,lgn,SITE NAME,QUADRANT,STATE,lat,Restrictions? Criteria to Access
,821 Upshur St Suite B,Services run on various days; inquire when seeking services,"Anyone and Everyone, HIV/ AIDS, LGBT",20011,Washington,,http://www.differentavenues.org/index.html,"Counseling resources, LGBT Services",n/a,(202) 829-2103,"Georgia Avenue/Petworth Metro - Green/Yellow Lines
60 Bus",Services run at various times; inquire when seeking services,-77.0242242,Different Avenues,NW,DC,38.9422265,
,721 8th Street,Daily,"LGBT, Catholics and Christian",20003,Washington,"English, Sign Language ",http://www.dignitywashington.org/,"Empowerment, LGBT Services","Dignity/Washington is a membership organization as well as a faith community. Your membership supports the work of the local community as well as the national Dignity/USA organization that advocates for change and dialogue in the larger Roman Catholic Church. Members are entitled to vote in yearly elections of the local and national Boards of Directors as well as to hold office.

Annual Dues for membership in Dignity/Washington are $10.00.

Annual Dues for membership in our national organization, Dignity/USA, are an additional $40.00; all Dignity/Washington members are encouraged to be enrolled as members of Dignity/USA.

Additional contributions to support the work of Dignity/Washington, and/or our national organization, Dignity/USA, are most welcome!",(202) 546-2235,"We celebrate Mass at 6:00 PM every Sunday at:

St. Margaret’s Church,
1820 Connecticut Avenue, NW
Washington, DC 20009

(Google Map)

    * Just north of the intersection of Connecticut and Florida Avenues, three blocks north of the Dupont Circle Metro Station/north exit, on the Red Line.","We celebrate Mass at 6:00 PM every Sunday at:

St. Margaret’s Church,
1820 Connecticut Avenue, NW
Washington, DC 20009",-76.9953419,Dignity Washington,SE,DC,38.880524,
,503 Rock Creek Church Rd,,Meals,20010,Washington,,http://www.catholicworker.org,Shelters/ Transitional Housing,,(202) 882-9649,Metro: Georgia Ave-Petworth (Green/Yellow Line) Bus: H8,"7 Days a Week, 24 Hours. Food and Clothing: Wed, 9am-11am",-77.019315,Dorothy Day Catholic Worker,NW,DC,38.937546,"Mothers, Children"
,926 11th St.,,Meals,20002,Washington,,http://www.dcgeriatricdaycenter.org,Senior Services,,(202) 347-7527,Metro: Metro Center (Red/Blue/Orange Line),"Mon-Fri, 7:45am-5:45pm",-76.9915471,"Downtown Cluster's Geriatric Day Care Center, Inc.",NW,DC,38.9020349,"DC Resident, Seniors"
,20th and Q St.,,,20009,Washington,,http://www.freshfarmmarket.org,Farmers Market,,(202) 362-8889,Metro: Dupont Circle (Red Line),"Sun, 9am-1pm",-77.0448739,Dupont Circle FreshFarm Market,NW,DC,38.9111264,Accepts WIC and SFMNP
,896 Southern Ave,,Housing,20032,Washington,,,Senior Services,,(202) 562-1365,,"Mon-Fri, 10am-2pm",-76.989974,Dupont Park,SE,DC,38.83048,Seniors
,770 M St,,Women's Health/Family Services,20003,Washington,,,Health Services,,,,,-76.995574,Eagle Academy (Mobile Unit)(WIC ENROLLMENT SITES/AGENCIES ),SE,DC,38.877003,
,3732 Minnesota Avenue,,,20019,Washington,,http://www.erfsc.org,Comprehensive Service Provider,,(202) 397-7300,Metro: Minnesota Ave (Orange Line) Bus: U5,"Mon-Fri, 8:30am-5pm",-76.9522167,East of the River Family Strengthening Collaborative,NE,DC,38.8912462,Ward 7
,123 45th St.,,Women's Health/Family Services,20019,Washington,,,Health Services,,,,,-76.93774,East of the River(WIC ENROLLMENT SITES/AGENCIES ),NE,DC,38.8916269,
,2800 13th Street,,Counseling Services,20009,Washington,,http://gwbr.easterseals.com,Women's Health/ Family Services,,(202) 387-4434,Metro: Columbia Heights (Green/Yellow Line),"Mon-Fri, 7am-6pm",-77.030193,Easter Seals Child Development Center (Headquarters),NW,DC,38.926038,"DC Resident, Children"
,2800 13th Street,,,20009,Washington,,www.easterseals.com ,Disability Services,,,,,-77.030193,"Easter Seals Greater Washington-Baltimore Region, Inc. 
Serving DC, MD, Northern VA & Eastern WV",NW,DC,38.926038,
,"1425 K Street, Suite 200 ",,,20005,Washington,,www.easterseals.com ,Disability Services,,"Phone: (202) 347-3066 
Toll Free Phone: (800) 659-6428 ",,,-77.033066,Easter Seals- Project Action (Headquarters),NW,DC,38.902914,
,"1425 K Street, Suite 200 ",,,20005,Washington,,www.easterseals.com ,Disability Services,,Phone: 202 347-3066 ,,,-77.033066,Easter Seals - Office of Public Affairs ,NW,DC,38.902914,
,1420 Spring Street ,,,20910,Silver Spring,,www.gwbr.easterseals.com ,Disability Services,,"Phone: 301 588-8700 
Toll Free Phone: 800 886-3771               SERVICE PHONE NUMBERS:

Child Development Centers General Information
   301-588-8700

Adult Day Services General Information
  301-588-8700

- Assistive Technology/Therapy
  301-588-8707

 Corporate and Family Caregiver Resource Center 
  301-588-8700

Family Friends Respite Program 
  301-920-9718  ",,,-77.033758,Easter Seals Regional Headquarter-The Harry and Jeanette Weinberg Inter-Generational ,,MD,38.9978399,
,225 7th St.,,,20003,Washington,,http://www.easternmarketdc.com,Farmers Market,,,Metro: Eastern Market (Blue/Orange Line),"Sat-Sun, 7am-4pm",-76.9964463,Eastern Market Outdoor Farmers Market,SE,DC,38.88645,
,611 Edgewood St.,,,20017,Washington,,,Senior Services,,(202) 832-8266,"Bus: D8, H8, G8","Mon-Fri, 10am-2pm",-76.998914,Edgewood Terrace #1,NE,DC,38.922696,Seniors
,1345 Saratoga Ave.,,,20018,Washington,,http://www.ebfsc.org,Women's Health/ Family Services,,(202) 832-9400,Metro: Rhode Island Ave-Brentwood (Red Line),"Mon-Fri, 9am-4:30pm",-76.986752,Edgewood/Brookland Family Support Collaborative,NE,DC,38.92174,Wards 5 and 6
,1233 20th St.,,,20036,Washington,,,Job Training/ Adult Education Services,,(202) 741-4730,Metro: Dupont Circle (Red Line),"Mon-Fri, 8am-5pm",-77.044909,Educational Opportunity Center (EOC),NW,DC,38.90658,Age 19+
,Georgia Ave. and Madison St.,,,20011,Washington,,,Community Garden,,,,,-77.028235,Emery Garden,NW,DC,38.958351,
,1725 Lincoln Rd,,,20002,Washington,,http://www.dccfh.org,Shelters/ Transitional Housing,,"(202) 635-1041
","Bus: 92, 90, 80",,-77.008311,Emery Shelter,NE,DC,38.9132971,"Homeless, Men"
,2409 Ainger Place,,,20020,Washington,,,Food/ Grocery Services,,,,,-76.971239,Emmanuel Baptist (SHARE site),SE,DC,38.857282,
,1226 Vermont Avenue,,,20005,Washington,,,Senior Services,,,,,-77.031528,Emmaus Senior Services for the Aging: Aging Senior Center,NW,DC,38.906951,
,1426 9th St.,,,20001,Washington,,http://www.emmausservices.org,Senior Services,,(202) 745-1200,Bus: G8,"Mon-Fri, 7:30am-5:30pm",-77.024197,Emmaus Services for the Aging,NW,DC,38.909381,"Seniors, Low Income"
,1842 Calvert Street,,`,20009,Washington,,http://www.eofula.org,Senior Services,,(202) 483-5800,,"Mon-Fri, 8:30am-5pm. Breakfast: 9am. Lunch: 12pm",-77.044391,Eofula-Spanish Senior Center (Educational Organization for United Latin Americans),NW,DC,38.923062,"Seniors, Hispanic"
,7603 Georgia Ave.,,,20012,Washington,,http://www.ethiopianamerican.org,Job Training/ Adult Education Services,,(202) 726-0800,"Bus: 70, 71, 79, K1 ","Mon-Fri, 9am-5pm",-77.02614,Ethiopian Community Center,NW,DC,38.98193,Ethiopian
,"901 N Highland St
",,"Specific community, ethic, or racial group, HIV/ AIDS, Immigrants",22201,Arlington,,"http://www.ecdcinternational.org/
",Education,ECDC helps Ethiopian new comers to settle better in the United States,,Metro Orange Line - Clarendon Station (0.2 mi.),,-77.094253,Ethiopian Community Development Council,Virginia,VA,38.882995,"ECDC African Community Center 
901 S. Highland Street
Arlington, VA 22204
(703) 685-0510
(703) 685-0529"
,3200 22nd St.,,,20018,Washington,,,Food/ Grocery Services,,,,,-76.9744879,Evangel Missionary Baptist (SHARE site),NE,DC,38.930532,
,901 Rittenhouse St.,,,20011,Washington,,,Food/ Grocery Services,,,,,-77.0263,Exodus Missionary Baptist Church (SHARE site),NW,DC,38.965228,
,2300 H Street,Daily,"Anyone and Everyone, Children, LGBT",20037,Washington,,"http://fabrangen.org/index.html
Last Updated October 25, 2009",LGBT Services,Provides an independent Jewish Community. ,(202) 667-7829,"Silver Spring Metro
The S buses","Fabrangen holds Shabbat Services on Saturday mornings at 9:30 a.m. at the Washington Ethical Society (WES) building at 7750 16th Street NW, with access via Silver Spring Metro and the S buses.",-77.0504349,Fabrangen Havurah,NW,DC,38.899388,
,2465 Alabama Ave.,,,20020,Washington,,,Food/ Grocery Services,,,,,-76.969611,Faith Tabernacle of Prayer for All People (SHARE site),SE,DC,38.854664,
,2041 Martin Luther King Jr. Ave,,,20020,Washington,,,Counseling Services,,(202) 889-7900,"Bus: P2, B2, 90","Mon-Fri, 9am-5pm",-76.989791,Family and Medical Counseling Services,SE,DC,38.865909,
,"
500 Indiana Avenue

",,Counseling Services,20001,Washington,,http://www.dccourts.gov,Legal Services,,(202) 879-1471,"Metro: Judiciary Square (Red Line), Archives (Green/Yellow Line)","Mon-Fri, 8:30am-5pm",-77.018977,Family Court Self-Help Center (Moultrie Courthouse),NW,DC,38.894198,
,3309 16th Street,,Education,20010,Washington,,http://www.thefamilyplacedc.org,Women's Health/ Family Services,,(202) 265-0149,"Bus: H8, S4, 54","Mon-Fri, 9am-5pm",-77.036001,Family Place,NW,DC,38.931918,Pregnant Women or with Children Age 0-5. Low Income
,1438 Rhode Island Ave.,,HIV/AIDS,20018,Washington,,http://www.familytiesproject.org,Women's Health/ Family Services,,(202) 547-3349,Metro: Capitol South (Blue/Orange Line),"Mon-Fri, 9am-5pm",-76.984421,Family Ties Project,NE,DC,38.925474,
,"2041 Martin Luther King, Jr. Ave.",,,20020,Washington,,http://www.fsfsc.org,Comprehensive Service Provider,,(202) 889-1425,Metro: Anacostia (Green Line). Bus: W6,"Mon-Fri, 8:30am-5pm",-76.989791,Far Southeast Family Strengthening Collaborative,SE,DC,38.865909,Ward 8
,19 Eye Street,,,20001,Washington,,http://www.fathermckennacenter.org,Comprehensive Service Provider,,(202) 842-1112   ,Bus: 80,"Lunch: Mon-Fri, 12pm-1pm. Dinner: Wed, 6pm",-77.0329375,Father McKenna Center,NW,DC,38.9014973,Men
,1008 45th St.,,,20019,Washington,,,Food/ Grocery Services,,,,,-76.937999,First Baptist of Deanwood (SHARE site),NE,DC,38.90312,
,4934 B St.,,,20019,Washington,,,Food/ Grocery Services,,,,,-76.9312549,First Baptist of Marshall Heights (SHARE site),SE,DC,38.887278,
,715 Randolph St.,,,20011,Washington,,,Senior Services,,(202) 723-4313,Metro: Georgia Ave-Petworth (Green/Yellow Line),"Mon-Fri, 9am-5pm",-77.022784,First Baptist Senior Center,NW,DC,38.938991,"Seniors, DC Resident, Low Income "
,27th St. and Dumbarton St.,,,20007,Washington,,,Food/ Grocery Services,,,,,-77.0558206,First Baptist-Georgetown (SHARE site),NW,DC,38.9077067,
,3440 Minnesota Ave,,,20019,Washington,,,Food/ Grocery Services,,,,,-76.956653,First Baptist-Minnesota Ave (SHARE site),SE,DC,38.885709,
,1800 E street,,Mobile services,20006,Washington,,http://dccentralkitchen.org,Meal Programs,,(202) 438-5035,Metro: Farragut West (Blue/Orange Line),"Mon-Fri, 8:15am-9:15am",-77.0425764,First Helping Outreach- DC Central Kitchen,NW,DC,38.8953872,
,Division Ave and Foote St.,,Mobile services,20019,Washington,,http://dccentralkitchen.org,Meal Programs,,(202) 439-8282, Bus: U8,"Mon-Fri, 10:30am-11:15am",-76.951402,First Helping Street Outreach- DC Central Kitchen,NE,DC,38.8988,
,3924 Minnesota Ave,,Mobile services,20019,Washington,,http://dccentralkitchen.org,Meal Programs,,"(202) 439-8282
",Bus: X2,"Mon-Fri, 8:30am-10:15am",-76.951045,First Helping Street Outreach- DC Central Kitchen (Chartered Health parking lot),NE,DC,38.893822,
,4635 South Capitol St.,,Mobile services,20001,Washington,,http://dccentralkitchen.org,Meal Programs,,"(202) 439-8282
",Bus: NH1,"Mon-Fri, 8:30am-9:15am",-77.0086613,First Helping Street Outreach- DC Central Kitchen (Rite Aid parking lot),SE,DC,38.9480118,
,5400 D St.,,,20019,Washington,,,Food/ Grocery Services,,,,,-76.923843,First National Deliverance Center (SHARE site),SE,DC,38.883212,
,4323 Bowen Rd.,,,20019,Washington,,,Food/ Grocery Services,,,,,-76.9365974,First United Methodist Church of Bradbury Heights (SHARE site),SE,DC,38.8728797,
,111 Michigan Ave,,Child Care,20010,Washington,,http://www.childrensnational.org,Health Services,,(202) 476-5000   ,"Bus: H1, H2, H3, H4, ",,-77.014864,"Fit Family, Children's National Medical Center",NW,DC,38.927241,
,1920 G St.,,,20006,Washington,,http://www.theunitedchurch.org,Food/ Grocery Services,,(202) 331-1495,Metro: Farragut West (Blue/Orange Line),"2nd and 4th Sat, 10am-12pm",-77.044684,Foggy Bottom Food Pantry,NW,DC,38.898189,"Identification Required, DC Resident"
,24th St. and New Hampshire Ave.,,,20052,Washington,,http://www.freshfarmmarket.org,Farmers Market,,(202) 362-8889,Metro: Foggy Bottom-GWU (Blue/Orange Line),"Wed, 2:30pm-7pm",-77.0514418,Foggy Bottom FreshFarm Market,NW,DC,38.901095,Accepts WIC and SFMNP
,219 Riggs Rd.,,Mobile services,20011,Washington,,http://www.foodandfriends.org,Meal Programs,,(202) 269-2277,Metro: Fort Totten (Red/Green/Yellow Line),"Mon-Thurs, 8am-5pm. Fri, 8am-2pm",-77.002927,Food And Friends,NE,DC,38.955913,"Referral Required, Chronic Illness"
,1810 16th St.,,Mobile services,20009,Washington,,http://foodforalldc.org,Food/ Grocery Services,,,"Metro: Dupont Circle (Red Line), U Street (Green/Yellow Line)","Sat, 9am",-77.0366625,Food For All,NW,DC,38.9143024,Volunteers
,1500 Harvard St,,,20009,Washington,,http://www.cancerproject.org,Job Training/ Adult Education Services,,(202) 244-5038,Metro: Columbia Heights (Green/Yellow Line),,-77.0354925,Food for Life Cooking Classes,NW,DC,38.9263064,
,2100 Martin Luther King Ave,,,20020,Washington,,http://dhs.dc.gov,Food/ Grocery Services,, 	(202) 645-4614,"Metro: Anacostia (Green Line) Bus: U2, 90, P6 ","Mon, Tues, Thurs, Fri, 8:15am-4:45pm. Wed, 8:15am-7pm",-76.9890099,Food Stamp Office Anacostia,SE,DC,38.865379,Low Income
,4001 South Capitol St.,,,20032,Washington,,http://dhs.dc.gov,Food/ Grocery Services,,(202) 645-4546,"Bus: M8, M9, A8","Mon, Tues, Thurs, Fri, 8:15am-4:45pm. Wed, 8:15am-7pm",-77.0089899,Food Stamp Office Congress Heights,SW,DC,38.8315151,Low Income
,51 N St.,,,20002,Washington,,http://dhs.dc.gov,Food/ Grocery Services,,	(202) 724-8720,Metro: New York Ave (Red Line),"Mon, Tues, Thurs, Fri, 8:15am-4:45pm. Wed, 8:15am-7pm",-77.006968,Food Stamp Office Eckington,NE,DC,38.906953,Low Income
,3851 Alabama Avenue,,,20020,Washington,,http://dhs.dc.gov,Food/ Grocery Services,, 	(202) 645-4500,"Bus: W4, M6","Mon, Tues, Thurs, Fri, 8:15am-4:45pm. Wed, 8:15am-7pm",-76.949999,Food Stamp Office Fort Davis,SE,DC,38.866105,Low Income
,645 H Street,,,20002,Washington,,http://dhs.dc.gov,Food/ Grocery Services,,(202) 698-4350,"Bus: X2, D8","Mon, Tues, Thurs, Fri, 8:15am-4:45pm. Wed, 8:15am-7pm",-76.9973584,Food Stamp Office H Street,NE,DC,38.9001863,Low Income
,3917 Minnesota Ave,,,20019,Washington,,http://dhs.dc.gov,Food/ Grocery Services,,(202) 724-7900,Metro: Minnesota Ave (Orane Line),"Mon, Tues, Thurs, Fri, 8:15am-4:45pm. Wed, 8:15am-7pm",-76.948482,Food Stamp Office Northeast Service Center,NE,DC,38.893716,Low Income
,1207 Taylor Street,,,20011,Washington,,http://dhs.dc.gov,Food/ Grocery Services,,(202) 576-8000,Metro: Georgia Ave-Petworth (Green/Yellow Line),"Mon, Tues, Thurs, Fri, 8:15am-4:45pm. Wed, 8:15am-7pm",-77.0272488,Food Stamp Office Taylor Street,NW,DC,38.9408177,Low Income
,1763 Columbia Road,,,20009,Washington,,http://www.flocdc.org,Teen/ Youth Programs,,(202) 462-8686,Bus: L2,"Mon-Fri, 9am-5pm",-77.0415005,For Love of Children,NW,DC,38.9235638,Children
,Fort Dupont Dr. and Fort Davis Dr.,,,20019,Washington,,,Community Garden,,,,,-76.9487955,Fort Dupont Park Gardens,SE,DC,38.8761885,
,Belt Road and Chesapeake St.,,,20016,Washington,,,Community Garden,,,,,-77.084996,Fort Reno Garden,NW,DC,38.95104,
,13th St. and Fort Stevens Dr.,,,20011,Washington,,,Community Garden,,,,,-77.030046,Fort Stevens Garden,NW,DC,38.964382,
,1500 16th St.,,Clothing,20036,Washington,,http://www.foundryumc.org,Food/ Grocery Services,,(202) 332-4010,"Metro: Dupont Circle (Red Line) Bus: S1, S2, S4","Fri, 9am-12pm",-77.036993,Foundry United Methodist Church,NW,DC,38.910047,
,3660 Alabama Avenue,,,20020,Washington,,,Library,,,,,-76.954379,Francis A. Gregory Library,SE,DC,38.864857,
,2201 P Street,,"Teens/ Young Adults, Specific community, ethic, or racial group, 16-17 year old males who have been charged and incarcerated as adults in the DC Jail",20037,Washington,,"http://www.freemindsbookclub.org/

Email: mail@freemindsbookclub.org

Phone: (202) 758-0829
","Empowerment, Mentoring",,,"38B Bus toward Farragut Square
36 Bus toward Naylor Road Station
32 Bus toward Southern Ave Station
Red Line to Dupont Circle (Exit using  CONN AVE & Q ST NW exit then walk  approx. 1 block W on Q St NW, Turn left on 21st St NW, Walk approx. 1 block S on 21st St NW, Turn right on P St NW, Walk approx. 1 block W on P St NW.
",,-77.049608,Free Minds Book Club,NW,DC,38.910404,"Only works with males ages 16-17, who have been charged and incarcerated as adults in the DC Jail"
,1519 U St.,,,20009,Washington,,,Food/ Grocery Services,,,,,-77.035607,Freedom Baptist Church (SHARE site),NW,DC,38.917215,
,45th St. and Van Ness St.,,,20016,Washington,,,Community Garden,,,,,-77.0886781,Friendship Garden,NW,DC,38.9431578,
,"619 D Street 
",,,20003,Washington,,http://friendshiphouse.net,Comprehensive Service Provider,,(202) 675-9050,Metro: Eastern Market (Blue/Orange Line),"Mon-Fri, 7am-6pm",-76.997646,Friendship House,SE,DC,38.883813,"Children, Families, Seniors"
,1327 Van Buren St.,,,20012,Washington,,,Teen/ Youth Programs,,(202) 541-3754,"Bus: 52, 53, 54","Mon-Fri, 2:30pm-9pm. Sat, 10am-4pm",-77.0306501,Ft. Stevens Recreation Center,NW,DC,38.9699411,
,2301 11th St.,,Housing,20001,Washington,,,Senior Services,,(202) 673-7452,"Bus: 66, 94","Mon-Fri, 8:15am-4:45pm",-77.0270166,Garfield Terrace,NW,DC,38.9207741,"Seniors, Disabled"
,111 F St.,,Counseling,20001,Washington,,http://www.law.georgetown.edu,Legal Services,,(202) 662-9640,Metro: Judiciary Square (Red Line),,-77.0125429,Georgetown Domestic Violence Clinic,NW,DC,38.8973591,Victims of Domestic Violence
,3307 M Street,,,20007,Washington,,,Library,,,,,-77.066729,Georgetown Library,NW,DC,38.90518,
,1104 Allison Street,,Referrals,20011,Washington,,http://www.dccollaboratives.org,Women's Health/ Family Services,,(202) 722-1815,Metro: Georgia Ave-Petworth (Green/Yellow Line),"Mon-Fri, 9am-5:30pm",-77.026838,Georgia Avenue/Rock Creek East Family Support Collaborative,NW,DC,38.944873,
,1041 Wisconsin Avenue,,Counseling Services,20007,Washington,,http://www.georgetownministrycenter.org,Shelters/ Transitional Housing,,(202) 338-8301,"Bus: 32, 34, 36, 38B","Counseling/Referrals: Mon-Fri, 10am-2pm. Shelter: Nov-Apr, 7 Days a Week, 7pm-7am",-77.062268,Gerogetown Ministry Center,NW,DC,38.903667,Homeless
,5119 4th St.,,,20011,Washington,,,Food/ Grocery Services,,,,,-77.017068,Gethsemane Baptist (SHARE site),NW,DC,38.952901,
,1500 Massachusetts Ave,,,20005,Washington,,,Food/ Grocery Services,,,,,-77.035167,Glory Tabernacle (SHARE site),NW,DC,38.90648,
,42nd St. and New Mexico Ave.,,,20016,Washington,,,Community Garden,,,,,-77.0813206,Glover Archbold Garden,NW,DC,38.9259876,
,2200 South Dakota Ave.,,,20018,Washington,,http://www.dcgoodwill.org,Job Training/ Adult Education Services,,(202) 636-4225,"Bus: B2, H6","Mon-Fri, 9am-6:30pm",-76.958355,Goodwill of Greater Washington,NE,DC,38.9200663,
,810 5th Street,,Outreach Center,20001,Washington,,www.grm.org,Shelters/ Transitional Housing,,(202) 842-1731,"Metro: Gallery Place-Chinatown (Red, Green, Yellow Line) Bus: P6, X2, 80, 70, 71, 79, D6","24 Hours, 7 Days a Week",-77.019219,Gospel Rescue Ministries,NW,DC,38.900331,Homeless
,4417 Dix St.,,,20019,Washington,,,Food/ Grocery Services,,,,,-76.937836,Grace Apostolic Church (SHARE site),NE,DC,38.894298,
,2407 Minnesota Ave.,,,20020,Washington,,,Food/ Grocery Services,,,,,-76.972219,Grace Memorial Baptist (SHARE site),SE,DC,38.8727097,
,605 Rhode Island Ave.,,Women's Health/Family Services,20002,Washington,,,Health Services,,,,,-76.997689,Greater Mt. Calvery Holy Church(WIC ENROLLMENT SITES/AGENCIES ),NE,DC,38.9203789,
,1818 Gales St.,,,20002,Washington,,,Food/ Grocery Services,,,,,-76.977067,Greater Mt. Pisgah Baptist (SHARE site),NE,DC,38.898337,
,"2900 Newton Street,",,,20018,Washington,,http://www.gwul.org,Senior Services,,(202) 529-8701,"Bus: 83,, 84, T18","Mon-Fri, 9am-5pm",-76.966386,"Greater Washington Urban League, Aging Division (NE)",NE,DC,38.934367,"Seniors, Ward 5"
,2041 Martin Luther King Jr. Ave,,,20020,Washington,,http://www.gwul.org,Senior Services,,(202) 610-6103,"Bus: P2, B2, 90","Mon-Fri, 9am-5pm",-76.989791,"Greater Washington Urban League, Aging Division (SE)",SE,DC,38.865909,"Seniors, Ward 8"
,2901 14th St.,,,20009,Washington,,http://www.gwul.org,Job Training/ Adult Education Services,,(202) 265-8200,Metro: Columbia Heights (Green/Yellow Line),"Mon-Fri, 9am-5pm",-77.0323888,Greater Washington Urban League/ Job Search Center,NW,DC,38.9265581,
,6017 Chillum Place,,,20011,Washington,,http://www.gwul.org,Job Training/ Adult Education Services,,"(202) 291-1230 
","Metro: Fort Totten (Red/Green/Yellow Line) Bus: F1, K6, R2",,-77.0076451,"Greater Washington Urban League: Charlene McLeod, Technology Resource Center Director",NE,DC,38.9638811,
,1221 Taylor St.,,Mental Health,20011,Washington,,http://www.greendoor.org,Health Services,, (202) 464-9200,"Metro: Georgia Ave-Petworth (Green/Yellow Line). Bus: 60, 62, 70, 71",,-77.0276139,Green Door,NW,DC,38.9409137,Adults with Mental Illness
,2412 Franklin St.,,Housing,20018,Washington,,,Senior Services,,(202) 635-0286,"Bus: B8, 86, H6","Mon-Fri, 10am-2pm",-76.971384,Green Valley Apartments,NE,DC,38.92621,Seniors
,501 H St.,,DC Public,20002,Washington,,http://www.hstreetcdc.org,Teen/ Youth Programs,,(202) 544-8353,Bus: X2,Mon-Fri,-76.999115,H Street Community Development Corporation (Summer Youth Initiative),NE,DC,38.899971,"Students, Must have a B average to participate"
,624 H St.,,,20002,Washington,,,Farmers Market,,,,,-76.99751,H Street Farmer's Market (FRESHFARM),NE,DC,38.9003467,
,843 Upshur Street,,,20011,Washington,,http://www.dchabitat.org,Shelters/ Transitional Housing,,(202) 882-4600,"Metro: Capitol Heights (Blue Line). Bus: 96, 97",,-77.024657,Habitat for Humanity,NW,DC,38.9420257,Low Income
,4605 MLK Jr Ave,,Women's Health/Family Services,20032,Washington,,,Health Services,,,,,-77.0161436,Hadley Memorial Hospital(WIC ENROLLMENT SITES/AGENCIES ),SW,DC,38.8372336,
,1900 Massachusetts Ave,,Dinner Program,20003,Washington,,http://www.catholiccharitiesdc.org,Shelters/ Transitional Housing,,(202) 547-1924,Metro: Stadium-Armory (Blue/Orange Line),"7 Days a Week, 7pm-7am",-76.975944,Harriet Tubman Women's Shelter,SE,DC,38.885855,"Women, Homeless, Age 18+"
,1845 Harvard St.,,Housing,20009,Washington,,,Senior Services,,(202) 673-7618,"Bus: H2, H4, DC Circulator","Mon-Fri, 10am-2pm",-77.0432739,Harvard Towers,NW,DC,38.9279434,Seniors
,1352 W St.,,,20020,Washington,,,Food/ Grocery Services,,,,,-76.986099,HAYLO Inc. (SHARE site),SE,DC,38.864446,
,801 17th St.,,Job Training,20002,Washington,,http://www.healthybabiesproject.org,Women's Health/ Family Services,,(202) 396-2809,Bus: X8,"Mon-Fri, 9am-5:45pm",-76.978385,Healthy Babies Project,NE,DC,38.900609,DC Resident
,602 N St.,,,20001,Washington,,,Food/ Grocery Services,,(202) 289-4480,Metro: Mt Vernon Square (Green/Yellow Line),"Every Other Tues, 10am-2pm",-77.0199624,Helping Hands Food Distrubution,NW,DC,38.9072161,Eligible for Food Stamps
,3211 Pine Street,,Meal Programs,20010,Washington,,http://www.catholiccharitiesdc.org,Shelters/ Transitional Housing,,(202) 246-6643,Metro: Columbia Heights (Green/Yellow Line),"Mon-Fri, 7:30am-4pm",-77.0363982,Hermano Pedro Day Shelter,NW,DC,38.9307057,Homeless
,"3211 Pine Street
",,"Homeless, Low-Income",20010,Washington,"English
Spanish
Amharic (Ethiopian)",,"Breakfast Program, Clothing, showers/laundry",,(202) 246-6643,Metro Yellow/Green Line - Columbia Heights,,-77.0363982,Hermano Pedro Day Shelter,NW,DC,38.9307057,day shelter for homeless and other low-income men and women 
,17th St. and D. St.,,,20003,Washington,,,Community Garden,,,,,-76.980766,Hill East Community Garden,SE,DC,38.8840974,
,220 6th St.,,,20004,Washington,,,Community Garden,,,,,-77.0199462,Hilton Garden,NE,DC,38.8928649,
,1789 Columbia Road,,"LGBT, Sex workers",20009,Washington,,http://www.hips.org/index.html,"Empowerment, LGBT Services",n/a,(202) 232-8150,"42 Bus
90 Bus
L2 Bus","Mobile Outreach and Education: 10pm - 5am on weekends
Hotline: 24 hours
Peer Education and Outreach/Client Advocacy: schedule varies
Syringe Exchange: 10pm - 5am via Mobile Outreach vans, on Fridays 7-8 at Transgender Health Empowerment, and 2nd Sundays of the month at 7pm at DC Area Transmasculine Society",-77.0423236,HIPS (Helping Individual Prostitutes Survive),NW,DC,38.9230993,
,12th and Newton Street,,,20017,Washington,,,Farmers Market,,,,,-76.991079,Historic Brookland Farmers Market,NE,DC,38.933526,
,1357 E Capitol St,,,20003,Washington,,,Food/ Grocery Services,,,,,-76.986192,Holy Comforter/St. Cyprian (SHARE site),SE,DC,38.889392,
,920 11th St.,,,20002,Washington,,,Food/ Grocery Services,,,,,-76.991902,Holy Name Catholic (SHARE site),NE,DC,38.9019959,
,206 New York Ave,,,20001,Washington,,,Food/ Grocery Services,,,,,-77.0140914,Holy Redeemer Catholic (SHARE site),NW,DC,38.9055283,
,439 12th St.,,,20003,Washington,,,Food/ Grocery Services,,,,,-76.9902637,Holy Temple Church (SHARE site),SE,DC,38.8827722,
,1110A-6th St.,,women's health/ family services,20002,Washington,,http://www.houseofimagene.org,Shelters/ Transitional Housing,,(202) 518-8488,Metro: New York Ave (Red Line),,-76.998768,House of Imagene,NE,DC,38.904221,"Women, Victims of Domestic Violence"
,5 Thomas Circle,,Empowerment,20005,Washington,,http://www.houseofruth.org,Shelters/ Transitional Housing,,(202) 667-7001,Metro: McPherson Square (Blue/Orange Line),,-77.0324759,House of Ruth,NW,DC,38.9062498,"Women, Children, Families"
,5 Thomas Circle,,"Women Only, women with their children",20005,Washington,,http://www.houseofruth.org/,Hotline Services,,(202) 667-7001,Metro Orange/Blue: Mcpherson sq Station,,-77.0324759,House of Ruth,NW,DC,38.9062498,Women who is 18 years and older - they can bring thier children.
